Model Configuration,SE Accuracy,Method Accuracy,SysML Accuracy,Overall Avg,Parse Error Rate,Response Time
o4-mini (rag),99.16%,61.33%,59.33%,73.27%,1.61%,6.15s
GPT-4.1 (rag),95.25%,58.67%,62.00%,71.97%,7.81%,7.35s
DeepSeek-V3 (rag),96.37%,52.67%,59.33%,69.46%,6.32%,21.53s
grok-3 (rag),93.85%,47.33%,66.00%,69.06%,8.27%,6.37s
GPT-4o (rag),95.53%,55.33%,56.00%,68.95%,6.73%,6.19s
GPT-4.1-mini (rag),95.53%,52.67%,56.00%,68.07%,7.05%,6.86s
GPT-4 (rag),93.85%,46.00%,63.33%,67.73%,5.10%,7.26s
grok-3 (base),95.90%,42.00%,63.33%,67.08%,6.61%,5.26s
GPT-4o (base),95.90%,50.00%,54.67%,66.86%,6.51%,5.33s
Mistral-large (rag),93.85%,46.67%,56.67%,65.73%,9.60%,5.41s
o4-mini (base),98.13%,49.33%,48.67%,65.38%,1.96%,6.20s
LLAMA 4 Maverick (rag),92.46%,40.67%,62.67%,65.27%,9.57%,6.03s
GPT-4.1 (base),96.83%,50.00%,47.33%,64.72%,6.39%,6.35s
grok-3-mini (rag),93.29%,46.00%,54.67%,64.65%,8.49%,11.99s
GPT-4.1-nano (rag),93.57%,48.00%,50.67%,64.08%,7.73%,6.50s
DeepSeek-V3 (base),96.08%,42.67%,51.33%,63.36%,6.11%,19.66s
Mistral-large (base),94.59%,40.67%,54.00%,63.09%,9.43%,4.80s
GPT-4.1-mini (base),95.90%,43.33%,50.00%,63.08%,6.01%,5.96s
Mistral-small (rag),93.29%,44.00%,51.33%,62.87%,9.45%,4.70s
GPT-4 (base),95.52%,35.33%,57.33%,62.73%,5.82%,6.49s
LLAMA 4 Maverick (base),94.58%,37.33%,49.33%,60.41%,8.61%,4.68s
Mistral-small (base),94.21%,41.33%,44.67%,60.07%,9.75%,4.38s
GPT-4.1-nano (base),95.34%,35.33%,48.00%,59.56%,6.55%,5.61s
Llama-3.3-70B (base),95.52%,36.67%,46.00%,59.40%,7.34%,5.05s
Llama-3.3-70B (rag),94.40%,32.67%,50.67%,59.25%,9.36%,6.24s
grok-3-mini (base),95.34%,43.33%,36.00%,58.22%,8.70%,11.31s
DeepSeek-R1 (rag),73.77%,47.33%,51.33%,57.48%,3.21%,13.06s
DeepSeek-R1 (base),75.04%,26.67%,26.67%,42.79%,0.35%,17.96s
