Model,Activity,Block,Internal,Package,Parametric,Requirements,Sequence,State,Use Case,Avg F1,Avg Time,Parse Err
Llama-3.3-70B,0.722,0.546,0.805,0.711,0.762,0.785,0.689,0.827,0.974,0.758,4.76,0.158
Mistral-large,0.53,0.745,0.75,0.652,0.78,0.813,0.668,0.788,0.967,0.744,8.28,0.159
Mistral-small,0.391,0.571,0.817,0.748,0.76,0.681,0.865,0.81,0.936,0.731,2.25,0.154
grok-3,0.555,0.683,0.767,0.534,0.742,0.868,0.674,0.777,0.854,0.717,4.63,0.173
GPT-4,0.507,0.74,0.665,0.479,0.693,0.833,0.712,0.833,0.895,0.706,6.12,0.169
GPT-4.1,0.221,0.555,0.883,0.58,0.756,0.633,0.8,0.74,0.891,0.673,2.23,0.179
GPT-4.1-nano,0.428,0.558,0.527,0.72,0.605,0.873,0.571,0.725,1.0,0.667,2.53,0.202
o4-mini,0.31,0.636,0.833,0.495,0.759,0.557,0.772,0.736,0.9,0.666,13.46,0.195
GPT-4o,0.156,0.771,0.833,0.388,0.679,0.614,0.628,0.795,0.92,0.643,2.64,0.185
DeepSeek-V3,0.31,0.615,0.85,0.698,0.762,0.474,0.639,0.774,0.587,0.634,28.82,0.217
GPT-4.1-mini,0.183,0.647,0.783,0.739,0.685,0.672,0.564,0.789,0.587,0.628,4.57,0.163
LLAMA 4 Maverick,0.159,0.577,0.821,0.49,0.356,0.776,0.563,0.758,0.921,0.602,2.59,0.234
grok-3-mini,0.217,0.621,0.498,0.749,0.746,0.739,0.439,0.701,0.667,0.597,17.09,0.136
DeepSeek-R1,0.217,0.465,0.6,0.395,0.663,0.459,0.338,0.615,0.267,0.447,20.56,0.355
